Date,AAPL,ABBV,AMD,AMZN,BAC,BHP,BIIB,BP,C,CVX,DIS,FCX,GOOGL,GS,JNJ,JPM,KO,LLY,MCD,META,MRNA,MS,MSFT,NKE,NVDA,PEP,PFE,PG,QQQ,SBUX,SLB,SPY,TSLA,WFC,WMT,XLE,XLF,XLV,XLY,XOM,^DJI,^GSPC,^IXIC,ADA-USD,AVAX-USD,BNB-USD,BTC-USD,DOGE-USD,DOT-USD,ETH-USD,LINK-USD,LTC-USD,MATIC-USD,SOL-USD,XRP-USD
2020-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03345799818634987,,13.689083099365234,7200.17431640625,0.00203300011344254,,130.802001953125,1.8066400289535522,42.01771926879883,0.014961999841034412,,0.19266700744628906
2020-01-02,72.7960433959961,71.58976745605469,49.099998474121094,94.90049743652344,31.4729061126709,40.3128776550293,294.239990234375,29.14996337890625,66.66132354736328,97.22527313232422,146.39154052734375,12.448689460754395,68.18681335449219,207.32920837402344,127.06416320800781,121.47721099853516,47.09473419189453,123.91545867919922,178.8411102294922,208.981689453125,19.229999542236328,43.983028411865234,153.6306915283203,96.48786926269531,5.972710132598877,117.63421630859375,29.490604400634766,108.41987609863281,209.63807678222656,80.29845428466797,35.72968292236328,301.1949157714844,28.68400001525879,47.053131103515625,36.78258514404297,48.58786392211914,28.171791076660156,94.3157958984375,121.59504699707031,55.63117599487305,28868.80078125,3257.85009765625,9092.1904296875,0.03275100141763687,,13.027010917663574,6985.47021484375,0.0020089999306946993,,127.4101791381836,1.7411439418792725,39.82301330566406,0.014650999568402767,,0.1880429983139038
2020-01-03,72.08829498291016,70.9102554321289,48.599998474121094,93.74849700927734,30.819438934326172,40.04128646850586,290.8500061035156,29.67732048034668,65.4057388305664,96.88898468017578,144.71226501464844,12.071455001831055,67.83010864257812,204.90478515625,125.59307098388672,119.8741455078125,46.83781051635742,123.50312805175781,178.2086944580078,207.8759307861328,18.889999389648438,43.273075103759766,151.71771240234375,96.22351837158203,5.877110958099365,117.46965789794922,29.33237075805664,107.6906967163086,207.7177734375,79.83113098144531,36.076576232910156,298.9141540527344,29.534000396728516,46.76423645019531,36.457862854003906,48.44350814819336,27.872665405273438,93.49390411376953,120.56029510498047,55.183921813964844,28634.880859375,3234.85009765625,9020.76953125,0.03418000042438507,,13.660451889038086,7344.88427734375,0.002145000034943223,,134.1717071533203,1.8097079992294312,42.41557312011719,0.015193999744951725,,0.19352099299430847
2020-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.034595001488924026,,13.891511917114258,7410.65673828125,0.0022410000674426556,,135.06936645507812,1.8401329517364502,43.32660675048828,0.014960999600589275,,0.19435499608516693
2020-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.034720998257398605,,14.111019134521484,7411.3173828125,0.0024190000258386135,,136.2767791748047,1.8077869415283203,43.55320739746094,0.014914000406861305,,0.1955370008945465
2020-01-06,72.6627197265625,71.46986389160156,48.38999938964844,95.14399719238281,30.7752742767334,39.99724197387695,290.82000732421875,30.456892013549805,65.2005615234375,96.5606918334961,143.8726348876953,12.118609428405762,69.63805389404297,207.0017852783203,125.4363784790039,119.77882385253906,46.820674896240234,123.96234893798828,180.21273803710938,211.79098510742188,18.1299991607666,43.120948791503906,152.10989379882812,96.13858032226562,5.901757717132568,117.9200210571289,29.294708251953125,107.84004974365234,209.05615234375,79.2020492553711,36.30782699584961,300.0545654296875,30.1026668548584,46.4841194152832,36.38364028930664,48.82045364379883,27.854537963867188,94.07571411132812,120.89563751220703,55.60763931274414,28703.380859375,3246.280029296875,9071.4697265625,0.037271998822689056,,14.957807540893555,7769.21923828125,0.0024629998952150345,,144.3041534423828,1.937466025352478,45.81635284423828,0.01558700017631054,,0.22150999307632446
2020-01-07,72.32096862792969,71.0621566772461,48.25,95.34300231933594,30.572172164916992,39.99724197387695,290.0899963378906,30.135892868041992,64.63433074951172,95.32767486572266,143.9220428466797,12.307228088378906,69.50354766845703,208.3644561767578,126.20238494873047,117.74251556396484,46.46097183227539,124.19664764404297,180.47999572753906,212.2492218017578,17.780000686645508,43.03642272949219,150.7229766845703,96.09133911132812,5.973208427429199,116.0665512084961,29.196754455566406,107.17236328125,209.02706909179688,78.95939636230469,36.12105178833008,299.21087646484375,31.270666122436523,46.09893798828125,36.04655075073242,48.69213104248047,27.673254013061523,93.89100646972656,120.70401000976562,55.152549743652344,28583.6796875,3237.179931640625,9068.580078125,0.037046998739242554,,15.009249687194824,8163.6923828125,0.002432999899610877,,143.5439910888672,2.114098072052002,46.424583435058594,0.01510000042617321,,0.21391700208187103
2020-01-08,73.4843521118164,71.56578826904297,47.83000183105469,94.59850311279297,30.88125228881836,40.1954345703125,292.6600036621094,29.67732048034668,65.12672424316406,94.23876953125,143.6256866455078,12.429827690124512,69.99825286865234,210.37294006347656,126.18499755859375,118.66104888916016,46.5466194152832,125.32136535644531,183.4014129638672,214.40101623535156,17.979999542236328,43.58579635620117,153.12379455566406,95.87421417236328,5.98441219329834,116.66417694091797,29.430322647094727,107.62918853759766,210.59817504882812,79.87606811523438,35.053688049316406,300.8055419921875,32.80933380126953,46.23899841308594,35.922855377197266,47.89008712768555,27.854537963867188,94.50050354003906,121.06808471679688,54.32081985473633,28745.08984375,3253.050048828125,9129.240234375,0.036435000598430634,,14.602933883666992,8079.86279296875,0.0022929999977350235,,141.2581329345703,2.183605909347534,45.65376663208008,0.01500600017607212,,0.20902599394321442
2020-01-09,75.04521179199219,72.11741638183594,48.970001220703125,95.05249786376953,30.934234619140625,39.81373596191406,294.29998779296875,29.77667808532715,65.71757507324219,94.08663940429688,143.06265258789062,12.222350120544434,70.73308563232422,214.65545654296875,126.55931091308594,119.09429931640625,47.39448165893555,127.39273834228516,185.57469177246094,217.46929931640625,18.399999618530273,43.999935150146484,155.03672790527344,95.80813598632812,6.050136566162109,116.74211883544922,29.302228927612305,108.80642700195312,212.38270568847656,81.35891723632812,35.453948974609375,302.84521484375,32.089332580566406,46.160221099853516,36.29396057128906,48.24298095703125,28.026762008666992,94.90685272216797,121.71002960205078,54.73667526245117,28956.900390625,3274.699951171875,9203.4296875,0.03635900095105171,,14.498313903808594,7879.0712890625,0.0022559999488294125,,138.9792022705078,2.186048984527588,45.2159309387207,0.014698999933898449,,0.20489899814128876
2020-01-10,75.21488189697266,71.19803619384766,48.16999816894531,94.15799713134766,30.678144454956055,39.9238395690918,296.510009765625,29.60853385925293,65.03644561767578,93.22992706298828,142.855224609375,12.16576099395752,71.18993377685547,214.22189331054688,126.27202606201172,117.90717315673828,47.55720138549805,129.34222412109375,184.61276245117188,217.23019409179688,19.139999389648438,44.126708984375,154.31936645507812,95.26052856445312,6.082500457763672,116.51693725585938,29.754314422607422,108.911865234375,211.839599609375,81.02638244628906,35.427268981933594,301.97369384765625,31.876667022705078,45.95886993408203,35.99088668823242,47.97028732299805,27.818283081054688,94.9345474243164,121.04893493652344,54.25019454956055,28823.76953125,3265.35009765625,9178.8603515625,0.03687399998307228,,15.025826454162598,8166.55419921875,0.0023560000117868185,,143.96377563476562,2.223958969116211,48.72732925415039,0.014852999709546566,,0.21230599284172058
